Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
56,Female,Master’s,<2000 AED,Abu Dhabi,5+ times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health",1000-2000 AED,1034.4,Interested
46,Female,Bachelor’s,2000-5000 AED,Dubai,Never,Non-Vegetarian,No,Very Interested,"Fitness Performance, Weight Management",<200 AED,353.97,Highly Interested
32,Female,Bachelor’s,>20000 AED,Ajman,5+ times/week,Vegan,Yes,Very Interested,"Mental Wellness, Weight Management, Fitness Performance",200-500 AED,457.68,Interested
60,Female,Bachelor’s,5000-10000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Immunity Boost, Energy Levels, Fitness Performance, Anti-Aging",500-1000 AED,672.38,Highly Interested
25,Male,Master’s,2000-5000 AED,Dubai,5+ times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Weight Management, Skin Health",200-500 AED,317.09,Interested
38,Male,Bachelor’s,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Mental Wellness, Energy Levels, Fitness Performance",>2000 AED,2891.02,Interested
56,Male,Bachelor’s,>20000 AED,Other,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Fitness Performance, Energy Levels, Weight Management",200-500 AED,444.08,Highly Interested
36,Female,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Very Interested,"Weight Management, Energy Levels, Mental Wellness",1000-2000 AED,1714.95,Not Interested
40,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,No,Neutral,"Immunity Boost, Anti-Aging, Mental Wellness, Skin Health, Energy Levels",500-1000 AED,624.4,Neutral
28,Female,Master’s,10000-20000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Skin Health, Fitness Performance, Mental Wellness, Anti-Aging, Immunity Boost",1000-2000 AED,1910.22,Interested
28,Male,Bachelor’s,2000-5000 AED,Dubai,Never,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Weight Management",200-500 AED,246.32,Interested
41,Female,Master’s,5000-10000 AED,Abu Dhabi,Never,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Immunity Boost",500-1000 AED,813.39,Highly Interested
53,Female,Master’s,<2000 AED,Dubai,Never,Non-Vegetarian,No,Neutral,"Mental Wellness, Fitness Performance, Immunity Boost",1000-2000 AED,1028.8,Interested
57,Female,Bachelor’s,2000-5000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Not Interested,"Anti-Aging, Fitness Performance, Skin Health, Mental Wellness, Weight Management",500-1000 AED,821.86,Highly Interested
41,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Mental Wellness",500-1000 AED,638.57,Highly Interested
20,Non-binary,Master’s,10000-20000 AED,Sharjah,3-4 times/week,Pescatarian,Yes,Very Interested,"Mental Wellness, Immunity Boost",500-1000 AED,724.84,Not Interested
39,Female,Bachelor’s,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Fitness Performance, Weight Management",1000-2000 AED,1345.26,Interested
19,Male,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Weight Management, Anti-Aging",500-1000 AED,586.38,Interested
41,Female,Doctorate,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Energy Levels, Weight Management, Anti-Aging, Immunity Boost",>2000 AED,2621.98,Highly Interested
61,Female,High School,<2000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Energy Levels, Weight Management",200-500 AED,464.59,Interested
