Age,Gender,Region,Education,Employment,Income,Exercise,Health Monitoring,Wearable Device,DNA Test Taken,Comfort DNA Sharing,Trust in Science,Interest Vitamins,Interest Skincare,Interest Diet Fitness,Preferred Mode,Willingness to Pay,Subscription Interest,Interest in DNA Brand,Diet Type_Vegetarian,Diet Type_Vegan,Diet Type_Non-vegetarian,Diet Type_Keto/Low-carb,Diet Type_High Protein,Diet Type_Pescatarian,Fitness Goals_Weight loss,Fitness Goals_Muscle gain,Fitness Goals_Energy,Fitness Goals_Sleep,Fitness Goals_Endurance,Fitness Goals_Mental wellness,Fitness Goals_Healthy aging,Fitness Goals_General fitness,Health Issues_Fatigue,Health Issues_Stress,Health Issues_Digestive issues,Health Issues_Vitamin deficiency,Health Issues_Skin issues,Health Issues_Hair fall,Health Issues_Hormonal imbalance,Health Issues_Weight issues,Supplement Sources_Pharmacy,Supplement Sources_Online,Supplement Sources_Supermarket,Supplement Sources_Clinic,Supplement Sources_None,Supplements Used_Multivitamins,Supplements Used_Omega-3,Supplements Used_Collagen,Supplements Used_Vitamin D,Supplements Used_Protein,Supplements Used_Probiotics,Supplements Used_Creatine,Supplements Used_Skin supplements,DNA Interest Areas_Diet plans,DNA Interest Areas_Vitamins,DNA Interest Areas_Skincare,DNA Interest Areas_Fitness,DNA Interest Areas_Preventive health,DNA Interest Areas_Anti-aging,DNA Interest Areas_Genetics curiosity
35-44,Male,Dubai,Bachelor,Working Professional,12000-20000,5+ times/wk,Never,No,Yes,3,High,Neutral,Unlikely,Likely,Email,<200,Maybe,No,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0
25-34,Male,UAQ,Bachelor,Student,<3000,5+ times/wk,Weekly,No,No,4,High,Very likely,Neutral,Unlikely,App,700-1000,Maybe,Maybe,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0
45-54,Female,Dubai,Bachelor,Freelancer,3000-7000,1-2 times/wk,Weekly,No,No,2,High,Unlikely,Very likely,Likely,App,200-400,Maybe,Yes,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
35-44,Female,Abu Dhabi,High School,Business Owner,7000-12000,3-4 times/wk,Occasionally,No,No,4,Medium,Likely,Neutral,Likely,App,1500+,Yes,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
35-44,Female,Dubai,Diploma,Working Professional,7000-12000,1-2 times/wk,Weekly,No,No,4,High,Likely,Neutral,Unlikely,App,<200,Maybe,Maybe,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
55+,Female,Abu Dhabi,Diploma,Working Professional,12000-20000,3-4 times/wk,Occasionally,Yes,Yes,5,High,Very likely,Very likely,Likely,App,<200,Maybe,Maybe,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18-24,Female,Dubai,Master,Freelancer,3000-7000,3-4 times/wk,Occasionally,Yes,No,4,Medium,Neutral,Likely,Neutral,Email,400-700,Yes,Yes,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
18-24,Female,Abu Dhabi,High School,Working Professional,<3000,Never,Never,Yes,No,3,Medium,Unlikely,Neutral,Neutral,App,700-1000,Yes,Yes,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0
45-54,Male,Sharjah,Bachelor,Student,12000-20000,5+ times/wk,Occasionally,Yes,No,2,Medium,Very unlikely,Very likely,Likely,Clinic,1000-1500,Maybe,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
25-34,Male,Abu Dhabi,High School,Working Professional,35000+,1-2 times/wk,Weekly,No,No,5,High,Unlikely,Very likely,Likely,Dashboard,700-1000,Yes,Yes,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
